artist_name,artist_id,track_name,track_id,lyric,sentiment,sentiment_score
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Show Me the Meaning of Being Lonely,3BsaRV5QIulYz2lV9WWa8T,"Show me the meaning of being lonely

So many words for the broken heart
It's hard to see in a crimson love
So hard to breathe
Walk with me, and maybe
Nights of light so soon become
Wild and free, I could feel the sun
Your every wish will be done
They tell me

Show me the meaning of being lonely
Is this the feeling I need to walk with?
Tell me why I can't be there where you are
There's something missing in my heart

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,86.02
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Shape of My Heart,35o9a4iAfLl5jRmqMX9c1D,"Hmm
Yeah, yeah

Baby, please try to forgive me

Stay here, don't put out the glow

Hold me now, don't bother
If every minute, it makes me weaker
You can save me from the man that I've become, oh yeah

Looking back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of my heart

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,95.12
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,As Long as You Love Me,00WvmRXTkPBZNhhRK3xfdy,"Although loneliness has always been a friend of mine
I'm leaving my life in your hand
People say I'm crazy and that I am blind
Risking it all in a glance
And how you got me blind is still a mystery
I can't get you out of my head
Don't care what is written in your history
As long as you're here with me

I don't care who you are
Where you're from, what you did
As long as you love me
Who you are, where you're from
Don't care what you did
As long as you love me

Every little thing that you have said and done
Feels like it's deep within me (oooh, ooh-ooh)
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,12.4
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Everybody (Backstreet's Back) - Radio Edit,4rTeOSYqwXNz5qPR2DUTFZ,"Everybody, yeah
Rock your body, yeah
Everybody, yeah
Rock your body right
Backstreet's back, alright

Hey, yeah, well
Oh, my God, we're back again
Brothers, sisters, everybody sing
Gonna bring the flavor, show you how
Gotta question for you, better answer now, yeah

Am I original?
Yeah
Am I the only one?
Yeah
Am I sexual?
Yeah
Am I everything you need?
You better rock your body now

Everybody
Yeah
Rock your body
Yeah
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,98.38
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,I Want It That Way,47BBI51FKFwOMlIiX6m8ya,"Yeah

You are my fire
The one desire
Believe when I say
I want it that way

But we are two worlds apart
Can't reach to your heart
When you say
That I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

Am I your fire?
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,50.88
Skeeter Davis,5b2OzvLaL6nyxw5pbVbSdy,The End of the World,5DTOOkooKFUvWj1XQTFa09,"Why does the sun go on shining?
Why does the sea rush to shore?
Don't they know it's the end of the world
'Cause you don't love me anymore?

Why do the birds go on singing?
Why do the stars glow above?
Don't they know it's the end of the world?
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,65.16999999999999
Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,"Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just a poor boy, I need no sympathy
Because I'm easy come, easy go, little high, little low
Any way the wind blows doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters

Too late, my time has come
Sends shivers down my spine, body's aching all the time
Goodbye, everybody, I've got to go
Gotta leave you all behind and face the truth
Mama, ooh (any way the wind blows)
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,93.34
Modern Talking,79bxUQsBIXO8nVLB9fYKf7,Brother Louie,5zWZ9iNevP0397xB3jWV2z,,Neutral,0.0
Volován,0htSEnHjTcKdNapBwIsEaA,Violines,48drOyywnha7HncBSoMvAt,"Ser asi
Caminar a ningun lugar
Despertar sin dormir,
Salir a pasear
En el mismo lugar
Donde e vivido yo
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,55.74
Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,I See You (Theme from Avatar),02TVrXmI9EBYpuSdmTr4gn,"I see you
I see you

Walking through a dream, I see you
My light in darkness breathing hope of new life
Now I live through you and you through me, enchanting
I pray in my heart that this dream never ends

I see me through your eyes
Breathing new life, flying high
Your love shines the way into paradise
So I offer my life as a sacrifice
I live through your love

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,97.5
Engelbert Humperdinck,17XXKfRBMCWvLrqGoNkJXm,A Man Without Love,0oUBuOO4g9P4lREqfqR5nq,"I can remember when we walked together
Sharing a love I thought would last forever
Moonlight to show the way so we can follow
Waiting inside her eyes was my tomorrow
Then somethin' changed her mind, her kisses told me
I had no lovin' arms to hold me

Every day I wake up, then I start to break up
Lonely is a man without love
Every day I start out, then I cry my heart out
Lonely is a man without love

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,13.71
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,The Scientist,75JFxkI2RXiU7L9VXzMkle,"Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
Tell you I set you apart

Tell me your secrets and ask me your questions
Oh, let's go back to the start
Running in circles, coming up tails
Heads on a science apart

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,52.23
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Numb,2nLtzopw4rPReszdYBJU6h,"I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
Don't know what you're expecting of me
Put under the pressure of walking in your shoes

(Caught in the undertow, just caught in the undertow)
Every step that I take is another mistake to you
(Caught in the undertow, just caught in the undertow)

I've become so numb
I can't feel you there
Become so tired
So much more aware
I'm becoming this
All I want to do
Is be more like me
And be less like you

Can't you see that you're smothering me
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,93.07
